О происхождении видов,Александр Блок,Драма,1858,32,12,Твердый,Покупка,31.01.2003,27.08.2007,Сложная для понимания книга
Отелло,Кир Булычев,Фантастика,1738,69,75,Мягкий,Подарок,19.06.1996,13.10.2013,Неплохя книга
Сердце,Евгений Шварц,Фантастика,1502,63,15,Твердый,Подарок,23.02.1998,25.12.2014,Замечательная книга
Вся королевская рать,Братья Вайнеры,Учебник,1737,52,14,Твердый,Наследство,31.05.2015,17.01.2004,Замечательная книга
Широкое Саргассово море,Николай Некрасов,Психология,1671,79,79,Твердый,Подарок,23.10.2013,25.09.2014,Хорошая книга
1984,Михаил Салтыков-Щедрин,Комедия,1600,25,21,Мягкий,Покупка,13.07.2013,21.11.2005,Неплохя книга
Улисс,Владимир Обручев,Психология,1865,55,17,Мягкий,Подарок,05.05.2003,25.11.2000,Ужасная книга
Паутина Шарлотты,Николай Гоголь,Стихотворения,1518,66,29,Мягкий,Подарок,01.05.2009,07.04.2004,Хорошая книга
Сыновья и любовники,Станислав Лем,Рассказ,1862,77,29,Мягкий,Подарок,23.07.2019,08.04.2008,Ужасная книга
Над пропастью во ржи,Фрэнсис Скотт Фицджеральд,Научная лит-ра,1876,23,61,Мягкий,Подарок,17.04.2009,20.07.2008,Неплохя книга
Франкенштейн,Вениамин Каверин,Повесть,1458,56,97,Твердый,Покупка,03.11.2013,14.01.1995,Хорошая книга
Дети полуночи,Фрэнсис Скотт Фицджеральд,Повесть,1757,10,83,Твердый,Покупка,07.07.2001,19.01.1996,Хорошая книга
Путешествия Гулливера,Антуан де Сент-Экзюпери,Учебник,1507,15,19,Твердый,Подарок,07.06.2010,16.06.2005,Неплохя книга
Унесенные ветром,Михаил Булгаков,Роман,1991,97,27,Твердый,Наследство,05.02.2000,18.07.2014,Замечательная книга
Темные начала,Джек Лондон,Драма,1505,74,69,Мягкий,Наследство,11.02.1998,08.02.2002,Замечательная книга
Капитал,Ярослав Гашек,Повесть,1673,58,42,Мягкий,Подарок,15.03.2009,28.11.2017,Неплохя книга
Унесенные ветром,Гомер,Фантастика,1508,25,67,Мягкий,Подарок,23.08.1997,05.06.2020,Сложная для понимания книга
Паутина Шарлотты,Александр Беляев,Драма,1452,73,96,Мягкий,Покупка,11.06.1995,10.09.2009,Ужасная книга
Темные начала,Даниель Дефо,Психология,1950,100,79,Мягкий,Покупка,16.03.2004,09.09.2005,Замечательная книга
Человек-невидимка,Борис Пастернак,Психология,1702,48,99,Мягкий,Покупка,15.07.1999,07.12.2013,Хорошая книга
